resource_change_count,create_count,update_count,delete_count,eks_public_endpoint,eks_public_cidr_open,public_egress_rule,security_group_rule_count,iam_resource_count,network_resource_count,open_cidr_0_0_0_0,sensitive_port_open_count,internet_gateway_present,nat_gateway_present,public_subnet_count,iam_wildcard_action,iam_wildcard_resource,unencrypted_resources,logging_disabled,s3_public_access_disabled,load_balancer_public,label,risk_score,has_severe
68,66,0,0,0,0,0,5,21,26,0,4,1,1,3,0,1,0,0,0,0,0,3,False
68,66,0,0,0,0,0,5,21,26,0,4,1,1,3,0,1,0,0,0,0,0,3,False
68,66,0,0,0,1,0,5,21,26,1,4,1,1,3,0,1,0,0,0,0,1,3,True
62,60,0,0,1,1,1,11,13,32,1,8,1,1,3,0,1,0,0,0,0,1,4,True
60,58,0,0,1,1,1,11,13,30,1,8,1,1,2,0,1,0,0,0,0,1,5,True
60,58,0,0,1,0,1,11,13,30,0,8,1,1,2,0,1,0,0,0,0,1,5,True
58,56,0,0,1,0,1,11,13,28,0,8,1,1,1,0,1,0,0,0,0,1,5,True
58,56,0,0,1,1,1,11,13,28,1,8,1,1,1,0,1,0,0,0,0,1,5,True
61,59,0,0,1,1,1,11,13,32,1,8,1,0,3,0,1,0,0,0,0,1,5,True
61,59,0,0,1,0,1,11,13,32,0,8,1,0,3,0,1,0,0,0,0,1,5,True
56,54,0,0,1,1,1,6,13,27,1,4,1,0,3,0,1,0,0,0,0,1,5,True
56,54,0,0,1,0,1,6,13,27,0,4,1,0,3,0,1,0,0,0,0,1,5,True
56,54,0,0,1,0,0,6,13,27,0,4,1,0,3,0,1,0,0,0,0,1,4,True
56,54,0,0,1,1,0,6,13,27,1,4,1,0,3,0,1,0,0,0,0,1,4,True
65,63,0,0,1,1,1,6,13,33,1,4,1,1,3,0,1,0,0,0,0,1,4,True
65,63,0,0,1,0,1,6,13,33,0,4,1,1,3,0,1,0,0,0,0,1,4,True
65,63,0,0,1,1,0,6,13,33,1,4,1,1,3,0,1,0,0,0,0,1,3,True
65,63,0,0,1,0,0,6,13,33,0,4,1,1,3,0,1,0,0,0,0,1,3,True
57,55,0,0,1,1,1,6,13,27,1,4,1,1,3,0,1,0,0,0,0,1,4,True
57,55,0,0,1,0,1,6,13,27,0,4,1,1,3,0,1,0,0,0,0,1,4,True
57,55,0,0,1,1,0,6,13,27,1,4,1,1,3,0,1,0,0,0,0,1,3,True
57,55,0,0,1,0,0,6,13,27,0,4,1,1,3,0,1,0,0,0,0,1,3,True
61,59,0,0,1,1,1,11,13,32,0,8,1,1,3,0,1,0,0,0,0,1,4,True
62,60,0,0,1,1,1,11,13,32,0,8,1,1,3,0,1,0,0,0,0,1,4,True
68,66,0,0,1,1,1,11,21,33,0,8,1,1,3,0,1,0,0,0,0,1,4,True
56,54,0,0,0,1,1,6,13,27,0,4,1,1,3,0,1,0,0,0,0,1,4,True
57,55,0,0,1,0,1,11,17,32,0,8,1,1,2,0,1,0,0,0,0,1,5,True
58,56,0,0,1,1,0,5,13,26,0,4,1,0,1,0,1,0,0,0,0,1,5,True
60,58,0,0,0,1,0,6,9,28,0,4,1,1,3,0,1,0,0,0,0,1,3,True
65,63,0,0,1,0,1,11,13,30,0,8,1,1,3,0,1,0,0,0,0,1,4,True
74,72,0,0,1,1,1,6,21,33,0,4,1,1,3,0,1,0,0,0,0,1,4,True
55,53,0,0,0,0,1,11,17,32,0,8,1,0,3,0,1,0,0,0,0,0,5,False
61,59,0,0,0,0,1,5,13,26,1,4,1,1,3,0,1,0,0,0,0,1,4,True
62,60,0,0,0,0,0,6,13,27,1,4,1,1,2,0,1,0,0,0,0,1,4,True
56,54,0,0,1,0,0,5,9,26,1,4,1,0,1,0,1,0,0,0,0,1,5,True
57,55,0,0,0,0,1,6,17,28,1,4,1,1,3,0,1,0,0,0,0,1,4,True
58,56,0,0,1,0,1,5,13,27,1,4,1,1,3,0,1,0,0,0,0,1,4,True
60,58,0,0,0,1,0,5,13,26,1,4,1,0,1,0,1,0,0,0,0,1,5,True
65,63,0,0,1,0,0,6,21,30,1,4,1,1,3,0,1,0,0,0,0,1,3,True
68,66,0,0,0,0,1,5,21,32,1,4,1,1,3,0,1,0,0,0,0,1,4,True
74,72,0,0,1,0,1,6,17,33,1,4,1,1,3,0,1,0,0,0,0,1,4,True
50,48,0,0,0,0,0,5,9,26,1,4,1,0,1,0,1,0,0,0,0,1,5,True
52,50,0,0,0,0,0,5,9,24,0,0,1,1,3,0,1,0,0,1,0,0,0,False
54,52,0,0,0,0,1,5,9,25,0,0,1,1,3,0,1,0,0,1,0,0,1,False
55,53,0,0,0,0,0,6,13,26,0,1,1,1,3,0,1,0,0,1,0,0,0,False
57,55,0,0,0,0,1,6,13,27,0,2,1,1,3,0,1,0,0,1,0,0,1,False
59,57,0,0,0,0,0,5,13,28,0,0,1,0,2,0,1,0,0,1,0,0,2,False
60,58,0,0,0,0,1,6,13,29,0,1,1,0,2,0,1,0,0,1,0,0,3,False
62,60,0,0,0,0,0,7,17,30,0,2,1,0,1,0,1,0,0,1,0,0,2,False
63,61,0,0,0,0,1,7,17,31,0,0,1,0,1,0,1,0,0,1,0,0,3,False
64,62,0,0,0,0,0,8,17,31,0,1,1,1,2,0,1,0,0,0,0,0,2,False
66,64,0,0,0,0,1,8,21,32,0,2,1,1,2,0,1,0,0,0,0,0,3,False
53,51,0,0,1,0,0,5,9,24,0,0,1,1,3,0,1,0,0,1,0,1,0,True
56,54,0,0,1,0,1,6,9,26,0,1,1,1,3,0,1,0,0,1,0,1,1,True
58,56,0,0,1,0,0,6,13,27,0,2,1,1,2,0,1,0,0,1,0,1,1,True
61,59,0,0,1,0,1,7,13,28,0,4,1,0,2,0,1,0,0,1,0,1,5,True
65,63,0,0,1,0,0,8,17,30,0,0,1,0,1,0,1,0,0,1,0,1,2,True
67,65,0,0,1,1,1,8,17,31,1,4,1,1,3,0,1,0,0,1,0,1,3,True
68,66,0,0,1,1,0,7,21,32,1,2,1,1,3,0,1,0,0,1,0,1,0,True
70,68,0,0,1,1,1,9,21,33,1,8,1,1,3,0,1,0,0,1,0,1,3,True
72,70,0,0,0,1,1,9,21,34,1,4,1,0,2,0,1,0,0,1,0,1,5,True
74,72,0,0,0,1,0,8,17,33,1,2,1,0,1,0,1,0,0,1,0,1,2,True
55,53,0,0,0,0,0,5,9,25,0,0,1,1,3,0,1,1,0,1,0,0,2,False
57,55,0,0,0,0,1,6,13,26,0,1,1,1,3,0,1,1,0,0,0,0,4,False
60,58,0,0,0,0,0,6,13,28,0,2,1,0,2,0,1,1,0,1,0,0,4,False
62,60,0,0,0,0,1,7,17,29,0,4,1,0,1,0,1,1,0,0,0,0,8,False
64,62,0,0,1,0,0,7,17,30,0,1,1,1,3,0,1,1,0,1,0,1,2,True
66,64,0,0,1,0,1,8,17,31,0,2,1,0,2,0,1,1,0,0,0,1,6,True
68,66,0,0,0,1,0,8,21,32,1,4,1,1,3,0,1,1,0,1,0,1,4,True
70,68,0,0,1,1,1,9,21,33,1,8,1,0,2,0,1,1,0,0,0,1,8,True
72,70,0,0,0,0,0,6,13,28,0,0,1,1,3,0,1,0,1,1,0,1,0,True
74,72,0,0,1,0,1,8,17,31,0,2,1,0,1,0,1,0,1,0,0,1,4,True
